source_id,source_type,title,author_or_organisation,version_or_date,url_or_path,role_in_repository,evidence_status,accessed
SRC-001,manufacturer manual,QuantiFluor® ONE dsDNA System Technical Manual,Promega,TM405; revised 10/22,https://www.promega.com/resources/protocols/technical-manuals/101/quantifluor-one-dsdna-system-protocol/,"Assay principle, wavelengths, range, lambda DNA, protocol, tubes, interferences",primary,2026-08-02
SRC-002,manufacturer manual,Quantus™ Fluorometer Operating Manual,Promega,TM396; revised 11/24,https://www.promega.com/resources/protocols/technical-manuals/101/quantus-fluorometer-operating-manual-protocol/,Commercial instrument comparison,primary,2026-08-02
SRC-003,open-source repository,Open Colorimeter Plus firmware,ioRodeo,current repository,https://github.com/iorodeo/open_colorimeter_plus_firmware,Hardware and CircuitPython reference platform,primary,2026-08-02
SRC-004,open-source repository,i_control_led I²C radial LED board,ioRodeo,"ver_0p1_rev_2, SMD0603, 16 mA",https://github.com/iorodeo/i_control_led/tree/main/i2c/5V_regulator/SMD0603_i2c/production/ver_0p1_rev_2,Installed LED board,primary,2026-08-02
SRC-005,supplier listing,Neemoo optical band-pass filters,Neemoo / AliExpress,item 1005010613836251,https://de.aliexpress.com/item/1005010613836251.html,"Filter identity, nominal designations and supplier transmittance information",vendor; volatile,2026-08-02
SRC-006,open-source repository,PySpectrometer2,Leslie Wright,current repository,https://github.com/leswright1977/PySpectrometer2,Basis of the project DIY spectrometer used for filter-band verification,primary,2026-08-02
SRC-007,project measurement,Ex470BP-40 spectral verification,QuantiFluorONE project,2026 project measurement,docs/figures/source/qfo_ex470bp40_spectral_verification.jpeg,Verification of passband position and shape; normalized to curve maximum,project evidence,2026-08-02
SRC-008,project measurement,Em532BP-40 spectral verification,QuantiFluorONE project,2026 project measurement,docs/figures/source/qfo_em532bp40_spectral_verification.jpeg,Verification of passband position and shape; normalized to curve maximum,project evidence,2026-08-02
SRC-009,component page,TSL2591 Product ID 1980,Adafruit Industries,PCB revision 2023-10-24 documented by project,https://www.adafruit.com/product/1980,Installed fluorescence sensor,primary,2026-08-02
SRC-010,component guide,PCA9546 4-channel I²C multiplexer,Adafruit Industries,project inventory Product ID 5664,https://learn.adafruit.com/adafruit-pca9546-4-channel-i2c-multiplexer/overview,Multiplexer architecture and default address,primary,2026-08-02
SRC-011,component page,Adafruit PyBadge Product ID 4200,Adafruit Industries,Product ID 4200,https://www.adafruit.com/product/4200,Controller,primary,2026-08-02
SRC-012,component page,"Qwiic Cable—Grove Adapter, 100 mm",SparkFun Electronics,PRT-15109,https://www.sparkfun.com/qwiic-cable-grove-adapter-100mm.html,Controller-to-Qwiic adapter,primary,2026-08-02
SRC-013,preprint,DIYNAFLUOR,Anderson et al.,bioRxiv 2024.12.16.626200,https://doi.org/10.1101/2024.12.16.626200,Open low-cost fluorometer comparison; not peer reviewed,preprint,2026-08-02
SRC-014,open-source repository,DIYNAFLUOR,Trau Lab,current repository,https://github.com/traulab/DIYNAFLUOR,"Code, BOM, build files and instructions",primary,2026-08-02
SRC-015,standard,DIN 38402-51:2017-05,DIN,2017-05,https://www.dinmedia.de/de/norm/din-38402-51/272448891,Linear calibration reference,licensed standard required,2026-08-02
SRC-016,standard,DIN 32645:2008-11,DIN,2008-11,https://www.dinmedia.de/de/norm/din-32645/110729574,LOD and LOQ reference,licensed standard required,2026-08-02
SRC-017,software,Open Fluorometer Calibration Suite,QuantiFluorONE project,v7.2 Stable,calibration_suite/v7.2-stable/,"Implemented calibration, model comparison, LOD/LOQ and JSON export",project software,2026-08-02
